Account,date,sentiment_binary,classification,value,total_pnl,num_trades,num_winning,num_losing,avg_trade_size,total_volume,avg_execution_price,num_buys,num_sells,total_fees,max_pnl,min_pnl,win_rate,long_short_ratio,net_pnl,is_profitable,pnl_range
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-03,Fear,Fear,25.0,0.0,1,0,0,54768.6,54768.6,12.0,1,0,0.456405,0.0,0.0,0.0,10000000000.0,-0.456405,0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-15,Fear,Fear,38.0,0.0,1,0,0,16.37,16.37,16.211,1,0,0.00035346,0.0,0.0,0.0,10000000000.0,-0.00035346,0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-16,Fear,Fear,29.0,-95.985744,88,1,87,780.4484090909092,68679.46,15.055318181818182,0,88,24.037758,0.01136,-12.26893,0.011363636363636364,0.0,-120.023502,0,12.280289999999999
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-17,Fear,Fear,30.0,-133.41237,125,20,47,730.92608,91365.76,7.5039216,60,65,31.977951,9.0675,-11.08,0.16,0.9230769230755029,-165.390321,0,20.1475
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-18,Fear,Fear,33.0,951.934443,689,301,0,766.7829027576198,528313.42,17.063288824383164,312,377,129.33009467,20.792975,0.0,0.43686502177068215,0.8275862068963322,822.60434833,1,20.792975
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-19,Fear,Fear,32.0,371.503,411,297,0,552.0850851581508,226906.97,17.105413625304134,122,289,51.02067149,14.396487,0.0,0.7226277372262774,0.4221453287195771,320.48232851,1,14.396487
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-20,Fear,Fear,37.0,-1892.58947,603,249,86,963.6022222222223,581052.14,17.957485903814263,297,306,119.87578636,30.525168,-183.273648,0.4129353233830846,0.9705882352938004,-2012.4652563599998,0,213.79881600000002
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-21,Fear,Fear,39.0,3434.689308,97,97,0,887.6931958762888,86106.24,18.439154639175257,0,97,30.137128,236.340678,0.725861,1.0,0.0,3404.55218,1,235.614817
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-23,Greed,Greed,72.0,2654.14315,568,336,4,2593.2515492957746,1472966.88,1786.2909903169013,219,349,197.963062,500.0,-1162.026288,0.5915492957746479,0.6275071633236025,2456.180088,1,1662.026288
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-24,Greed,Greed,63.0,1867.252909,680,333,68,1679.7829852941175,1142252.43,117.46892911764705,346,334,188.105048,151.520733,-177.896823,0.48970588235294116,1.0359281437122647,1679.147861,1,329.417556
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-25,Greed,Greed,60.0,1969.39321,330,40,57,3782.839757575757,1248337.1199999999,270.0055418181818,162,168,197.03662328000001,549.0,-22.839354,0.12121212121212122,0.9642857142851404,1772.35658672,1,571.839354
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-26,Greed,Greed,65.0,-4648.8710550000005,338,0,338,284.5678402366864,96183.93,18.185494082840236,0,338,16.916102,-0.06295,-297.377691,0.0,0.0,-4665.787157000001,0,297.314741
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-27,Greed,Greed,61.0,0.0,67,0,0,1435.3307462686569,96167.16,18.0,67,0,0.267131,0.0,0.0,0.0,670000000000.0,-0.267131,0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-30,Greed,Greed,56.0,5179.772745,83,83,0,1221.0467469879518,101346.88,18.970975903614455,0,83,30.404024,311.508415,0.368638,1.0,0.0,5149.368721,1,311.13977700000004
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-05-01,Neutral,Neutral,53.0,1243.853569,250,81,0,815.50576,203876.44,19.37724,169,81,31.0304917,76.416306,0.0,0.324,2.086419753083844,1212.8230773,1,76.416306
0x271b280974205ca63b716753467d5a371de622ab,2024-07-15,Neutral,Neutral,52.0,-1.0,5,0,2,6070.2,30351.0,151.754,2,3,10.197932,0.0,-0.6204,0.0,0.6666666666444444,-11.197932,0,0.6204
0x271b280974205ca63b716753467d5a371de622ab,2024-11-29,Greed,Extreme Greed,78.0,1584.342755,1,1,0,1584.35,1584.35,4.23,0,1,0.53234,1584.342755,1584.342755,1.0,0.0,1583.810415,1,0.0
0x271b280974205ca63b716753467d5a371de622ab,2024-12-05,Greed,Extreme Greed,84.0,208.81746,4,3,0,39530.9875,158123.95,3859.3500000000004,3,1,34.129711,130.90986,0.0,0.75,2.9999999997,174.687749,1,130.90986
